COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Samoa,WSM,WPRO,REPORTING,2021-05-05,7411,7411,3.735,3.735,AstraZeneca - AZD1222,2021-04-18,1
San Marino,SMR,EURO,REPORTING,2021-05-23,41567,21858,122.5,64.406,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-24,2
Cabo Verde,CPV,AFRO,REPORTING,2021-05-31,24382,21663,4.385,3.896,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,2
Saudi Arabia,SAU,EMRO,REPORTING,2021-05-25,13029245,,37.425,,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,4
Sweden,SWE,EURO,REPORTING,2021-05-23,4764436,3552073,46.1,34.394,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Myanmar,MMR,SEARO,REPORTING,2021-05-13,2994900,1772177,5.504,3.257,SII - Covishield,2021-01-27,1
Australia,AUS,WPRO,REPORTING,2021-04-28,3089183,,12.114,,"AstraZeneca - AZD1222,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-22,3
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2021-05-28,24297,17736,45.678,33.343,"AstraZeneca - AZD1222,SII - Covishield",2021-02-22,2
Costa Rica,CRI,AMRO,REPORTING,2021-05-28,1457802,867517,28.617,17.03,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2020-12-24,2
Fiji,FJI,WPRO,REPORTING,2021-05-05,65419,65419,7.298,7.298,"AstraZeneca - AZD1222,SII - Covishield",2021-03-07,2
Canada,CAN,AMRO,REPORTING,2021-05-28,22622529,20766387,59.94,55.022,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,3
Zambia,ZMB,AFRO,REPORTING,2021-05-31,140843,140843,0.766,0.766,SII - Covishield,2021-04-14,1
Eswatini,SWZ,AFRO,REPORTING,2021-05-31,34897,34897,3.008,3.008,SII - Covishield,2021-03-19,1
Guyana,GUY,AMRO,REPORTING,2021-05-28,176797,169981,22.477,21.611,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-02-11,4
Congo,COG,AFRO,REPORTING,2021-05-31,38268,22623,0.694,0.41,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",2021-03-23,4
Colombia,COL,AMRO,REPORTING,2021-05-28,12256390,7581721,24.087,14.9,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,3
Andorra,AND,EURO,REPORTING,2021-05-23,32327,27614,41.8,35.739,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-20,2
Namibia,NAM,AFRO,REPORTING,2021-05-31,76578,67706,3.014,2.665,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-19,2
Madagascar,MDG,AFRO,REPORTING,2021-05-31,36640,36640,0.132,0.132,SII - Covishield,2021-05-10,1
Monaco,MCO,EURO,OWID,2021-05-27,28663,15688,73,39.976,Pfizer BioNTech - Comirnaty,,1
Italy,ITA,EURO,REPORTING,2021-05-23,31092570,20949674,52.1,35.127,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Iraq,IRQ,EMRO,REPORTING,2021-05-25,442234,371004,1.099,0.922,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-02,4
Republic of Moldova,MDA,EURO,REPORTING,2021-05-23,301630,262454,7.5,6.506,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-03,5
Croatia,HRV,EURO,REPORTING,2021-05-23,1599417,1173968,39.4,29.262,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Argentina,ARG,AMRO,REPORTING,2021-05-28,11677633,9084600,25.838,20.101,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2020-12-29,4
Mexico,MEX,AMRO,REPORTING,2021-05-28,28506527,,22.11,,"AstraZeneca - AZD1222,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,5
Kyrgyzstan,KGZ,EURO,OWID,2021-05-18,54101,,0.8,,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,2
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2021-05-24,3141577,2738504,3.74,3.26,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V",2021-02-09,4
Paraguay,PRY,AMRO,REPORTING,2021-05-28,251054,213071,3.52,2.987,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-02-22,5
Cayman Islands,CYM,AMRO,REPORTING,2021-05-28,79562,,121.062,,Pfizer BioNTech - Comirnaty,2021-01-15,1
Afghanistan,AFG,EMRO,REPORTING,2021-05-30,600152,480226,1.542,1.234,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3
Angola,AGO,AFRO,REPORTING,2021-05-31,909215,679034,2.766,2.066,SII - Covishield,2021-03-10,1
Gabon,GAB,AFRO,REPORTING,2021-05-31,17272,10670,0.776,0.479,Beijing CNBG - Inactivated,2021-03-23,1
Dominican Republic,DOM,AMRO,REPORTING,2021-05-28,4121584,3115252,37.994,28.718,"AstraZeneca - AZD1222,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2021-05-28,20493,13637,18.472,12.292,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,SII - Covishield",2021-02-01,3
Senegal,SEN,AFRO,REPORTING,2021-05-31,522575,452735,3.121,2.704,"Beijing CNBG - Inactivated,SII - Covishield",2021-02-23,2
South Africa,ZAF,AFRO,REPORTING,2021-05-31,182983,182983,0.309,0.309,Janssen - Ad26.COV 2.5,2021-02-17,1
Bahamas,BHS,AMRO,REPORTING,2021-05-28,46400,42400,11.799,10.782,"AstraZeneca - AZD1222,SII - Covishield",2021-03-14,2
Togo,TGO,AFRO,REPORTING,2021-05-31,311938,270784,3.768,3.271,SII - Covishield,2021-03-10,1
Bosnia and Herzegovina,BIH,EURO,OWID,2021-05-25,136965,102803,4.2,3.133,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Malta,MLT,EURO,REPORTING,2021-05-23,458355,275230,89.1,53.488,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Tonga,TON,WPRO,REPORTING,2021-05-14,21632,21632,20.466,20.466,AstraZeneca - AZD1222,2021-04-14,1
Equatorial Guinea,GNQ,AFRO,REPORTING,2021-05-31,219677,148079,15.658,10.555,"Beijing CNBG - Inactivated,Sinovac - CoronaVac",2021-02-12,2
Brazil,BRA,AMRO,REPORTING,2021-05-28,60017445,40513326,28.236,19.06,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,4
The United Kingdom,GBR,EURO,OWID,2021-05-29,60965594,38070038,89.8,56.079,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Sudan,SDN,EMRO,REPORTING,2021-05-30,358236,320305,0.817,0.73,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-09,4
Benin,BEN,AFRO,REPORTING,2021-05-31,12934,12516,0.107,0.103,"SII - Covishield,Sinovac - CoronaVac",2021-03-29,2
